run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
ERR12682748	PRJEB72149	ERP156932	SAMEA115094252	ERS17727751	ERX12056880	ERA29098920	309358	Saccharina latissima	ILLUMINA	Illumina NovaSeq 6000	BSI_CP_DA		PAIRED	WGS	GENOMIC	RANDOM	1165179788	1.74768E+11	Genoscope;GSC	2/21/24	2/22/24	Illumina NovaSeq 6000 sequencing: Saccharina latissima_Illumina_DA	Sequencing data of the Phaeoexplorer project	STUDY_91QG3FH8N	exp_BSI_CPOSDA_1_HCKHFDMXX.IND12	run_BSI_CPOSDA_1_HCKHFDMXX.IND12	41804287593;44530062395	41142a469fe026cb78e77ac43cfb1b44;1ee1e0f01b487a1cced10d327bcd546a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/048/ERR12682748/ERR12682748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/048/ERR12682748/ERR12682748_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR126/048/ERR12682748/ERR12682748_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR126/048/ERR12682748/ERR12682748_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/048/ERR12682748/ERR12682748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/048/ERR12682748/ERR12682748_2.fastq.gz	38791648592;41440019448	763a969bd84cd9be15da3c0f09aa5dfb;d6294f9bdaa408a1b4e0189e3abdde71	ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682748/BSI_CPOSDA_1_1_HCKHFDMXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682748/BSI_CPOSDA_1_2_HCKHFDMXX.IND12_clean.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR126/ERR12682748/BSI_CPOSDA_1_1_HCKHFDMXX.IND12_clean.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR126/ERR12682748/BSI_CPOSDA_1_2_HCKHFDMXX.IND12_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682748/BSI_CPOSDA_1_1_HCKHFDMXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682748/BSI_CPOSDA_1_2_HCKHFDMXX.IND12_clean.fastq.gz	FASTQ;FASTQ	33Sl-1-A		DNA extracted from Saccharina latissima strain SLPER63m3.		2/20/24	ftp.sra.ebi.ac.uk/vol1/err/ERR126/048/ERR12682748/ERR12682748.bam	82866953743	4a4572909fc3c4e579d178b78fbc7a92	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
ERR12682612	PRJEB72149	ERP156932	SAMEA115094254	ERS17727753	ERX12056744	ERA29098920	309358	Saccharina latissima	ILLUMINA	Illumina NovaSeq 6000	BSI_AR_W		PAIRED	WGS	GENOMIC	RANDOM	1697007726	2.55821E+11	Genoscope;GSC	2/21/24	2/22/24	Illumina NovaSeq 6000 sequencing: Saccharina latissima_Illumina_W	Sequencing data of the Phaeoexplorer project	STUDY_91QG3FH8N	exp_BSI_AROSW_2_H5YGCDSXX.IND33	run_BSI_AROSW_2_H5YGCDSXX.IND33	60418795353;62500211441	56dedb6e6fb2b4099cab9cba77ef6183;e46f50c7416c32f2a43765eb065cc96a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/012/ERR12682612/ERR12682612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/012/ERR12682612/ERR12682612_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR126/012/ERR12682612/ERR12682612_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR126/012/ERR12682612/ERR12682612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/012/ERR12682612/ERR12682612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/012/ERR12682612/ERR12682612_2.fastq.gz	56110071968;58144884770	0cce32b14204ba39636fa289594849de;58e2eda78fb776049a87011cbd80ac60	ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682612/BSI_AROSW_2_1_H5YGCDSXX.IND33_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682612/BSI_AROSW_2_2_H5YGCDSXX.IND33_clean.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR126/ERR12682612/BSI_AROSW_2_1_H5YGCDSXX.IND33_clean.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR126/ERR12682612/BSI_AROSW_2_2_H5YGCDSXX.IND33_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682612/BSI_AROSW_2_1_H5YGCDSXX.IND33_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR126/ERR12682612/BSI_AROSW_2_2_H5YGCDSXX.IND33_clean.fastq.gz	FASTQ;FASTQ	34Sl-1-A		DNA extracted from Saccharina latissima strain SLPER63f7.		2/20/24	ftp.sra.ebi.ac.uk/vol1/err/ERR126/012/ERR12682612/ERR12682612.bam	1.16929E+11	97dc2f52d7a59d94a5e27e437ed94073	GENERATED_FILE;GENERATED_FILE	SUBMISSION_FILE;SUBMISSION_FILE	ARCHIVAL_FILE
